id,image_path,original_image_path,input_type,true,pred,correct,invalid,generated_text,full_output,returncode,wall_s,raw_log_path,mtmd_encode_ms,prompt_eval_ms,prompt_eval_tokens,decode_eval_ms,decode_eval_tokens,total_ms,total_tokens
two_up_00002,data/hagrid_day1/images/two_up/two_up_00002.jpg,,full_image,two_up,peace,False,False,peace,,0,3.722024681046605,results/raw_cli/qwen3vl4b_f16_l40s_19/0000_two_up_two_up_00002.txt,1351.0,,,,,,
palm_00002,data/hagrid_day1/images/palm/palm_00002.jpg,,full_image,palm,stop,False,False,stop,,0,3.5798432901501656,results/raw_cli/qwen3vl4b_f16_l40s_19/0001_palm_palm_00002.txt,1253.0,,,,,,
fist_00002,data/hagrid_day1/images/fist/fist_00002.jpg,,full_image,fist,fist,True,False,fist,,0,3.6099223289638758,results/raw_cli/qwen3vl4b_f16_l40s_19/0002_fist_fist_00002.txt,1238.0,,,,,,
stop_00003,data/hagrid_day1/images/stop/stop_00003.jpg,,full_image,stop,stop,True,False,stop,,0,3.6828555073589087,results/raw_cli/qwen3vl4b_f16_l40s_19/0003_stop_stop_00003.txt,1324.0,,,,,,
four_00001,data/hagrid_day1/images/four/four_00001.jpg,,full_image,four,four,True,False,four,,0,3.7520158663392067,results/raw_cli/qwen3vl4b_f16_l40s_19/0004_four_four_00001.txt,1310.0,,,,,,
like_00001,data/hagrid_day1/images/like/like_00001.jpg,,full_image,like,like,True,False,like,,0,3.649242512881756,results/raw_cli/qwen3vl4b_f16_l40s_19/0005_like_like_00001.txt,1281.0,,,,,,
ok_00004,data/hagrid_day1/images/ok/ok_00004.jpg,,full_image,ok,ok,True,False,ok,,0,3.605996135622263,results/raw_cli/qwen3vl4b_f16_l40s_19/0006_ok_ok_00004.txt,1163.0,,,,,,
mute_00001,data/hagrid_day1/images/mute/mute_00001.jpg,,full_image,mute,mute,True,False,mute,,0,3.5904944855719805,results/raw_cli/qwen3vl4b_f16_l40s_19/0007_mute_mute_00001.txt,1244.0,,,,,,
stop_inverted_00004,data/hagrid_day1/images/stop_inverted/stop_inverted_00004.jpg,,full_image,stop_inverted,four,False,False,four,,0,3.489040119573474,results/raw_cli/qwen3vl4b_f16_l40s_19/0008_stop_inverted_stop_inverted_00004.txt,1107.0,,,,,,
call_00002,data/hagrid_day1/images/call/call_00002.jpg,,full_image,call,call,True,False,call,,0,3.554274143651128,results/raw_cli/qwen3vl4b_f16_l40s_19/0009_call_call_00002.txt,1172.0,,,,,,
peace_inverted_00001,data/hagrid_day1/images/peace_inverted/peace_inverted_00001.jpg,,full_image,peace_inverted,peace,False,False,peace,,0,3.625762652605772,results/raw_cli/qwen3vl4b_f16_l40s_19/0010_peace_inverted_peace_inverted_00001.txt,1278.0,,,,,,
three2_00003,data/hagrid_day1/images/three2/three2_00003.jpg,,full_image,three2,peace,False,False,peace,,0,3.5659589897841215,results/raw_cli/qwen3vl4b_f16_l40s_19/0011_three2_three2_00003.txt,1193.0,,,,,,
rock_00000,data/hagrid_day1/images/rock/rock_00000.jpg,,full_image,rock,rock,True,False,rock,,0,3.675513159483671,results/raw_cli/qwen3vl4b_f16_l40s_19/0012_rock_rock_00000.txt,1320.0,,,,,,
peace_00002,data/hagrid_day1/images/peace/peace_00002.jpg,,full_image,peace,peace,True,False,peace,,0,3.4903146475553513,results/raw_cli/qwen3vl4b_f16_l40s_19/0013_peace_peace_00002.txt,1144.0,,,,,,
two_up_inverted_00003,data/hagrid_day1/images/two_up_inverted/two_up_inverted_00003.jpg,,full_image,two_up_inverted,two_up,False,False,two_up,,0,3.5532618910074234,results/raw_cli/qwen3vl4b_f16_l40s_19/0014_two_up_inverted_two_up_inverted_00003.txt,1179.0,,,,,,
dislike_00001,data/hagrid_day1/images/dislike/dislike_00001.jpg,,full_image,dislike,dislike,True,False,dislike,,0,3.687158342450857,results/raw_cli/qwen3vl4b_f16_l40s_19/0015_dislike_dislike_00001.txt,1319.0,,,,,,
three_00001,data/hagrid_day1/images/three/three_00001.jpg,,full_image,three,three,True,False,three,,0,3.7585685085505247,results/raw_cli/qwen3vl4b_f16_l40s_19/0016_three_three_00001.txt,1405.0,,,,,,
one_00000,data/hagrid_day1/images/one/one_00000.jpg,,full_image,one,one,True,False,one,,0,3.73110837303102,results/raw_cli/qwen3vl4b_f16_l40s_19/0017_one_one_00000.txt,1307.0,,,,,,
no_gesture_00000,data/hagrid_day1/images/no_gesture/no_gesture_00000.jpg,,full_image,no_gesture,no_gesture,True,False,no_gesture,,0,3.678305208683014,results/raw_cli/qwen3vl4b_f16_l40s_19/0018_no_gesture_no_gesture_00000.txt,1219.0,,,,,,
