id,image_path,original_image_path,input_type,true,pred,correct,invalid,generated_text,full_output,returncode,wall_s,raw_log_path,mtmd_encode_ms,prompt_eval_ms,prompt_eval_tokens,decode_eval_ms,decode_eval_tokens,total_ms,total_tokens
two_up_00002,data/hagrid_day1/images/two_up/two_up_00002.jpg,,full_image,two_up,peace,False,False,peace,,0,31.133781296999587,results/raw_cli/qwen3vl4b_self_q6_k_mmprojq8_19/0000_two_up_two_up_00002.txt,8749.0,,,,,,
palm_00002,data/hagrid_day1/images/palm/palm_00002.jpg,,full_image,palm,stop,False,False,stop,,0,37.84269161499924,results/raw_cli/qwen3vl4b_self_q6_k_mmprojq8_19/0001_palm_palm_00002.txt,8564.0,,,,,,
fist_00002,data/hagrid_day1/images/fist/fist_00002.jpg,,full_image,fist,fist,True,False,fist,,0,18.154933367999547,results/raw_cli/qwen3vl4b_self_q6_k_mmprojq8_19/0002_fist_fist_00002.txt,8539.0,,,,,,
stop_00003,data/hagrid_day1/images/stop/stop_00003.jpg,,full_image,stop,stop,True,False,stop,,0,17.20292815599987,results/raw_cli/qwen3vl4b_self_q6_k_mmprojq8_19/0003_stop_stop_00003.txt,8538.0,,,,,,
four_00001,data/hagrid_day1/images/four/four_00001.jpg,,full_image,four,four,True,False,four,,0,23.347104604999913,results/raw_cli/qwen3vl4b_self_q6_k_mmprojq8_19/0004_four_four_00001.txt,8515.0,,,,,,
like_00001,data/hagrid_day1/images/like/like_00001.jpg,,full_image,like,like,True,False,like,,0,20.875765661000514,results/raw_cli/qwen3vl4b_self_q6_k_mmprojq8_19/0005_like_like_00001.txt,8796.0,,,,,,
ok_00004,data/hagrid_day1/images/ok/ok_00004.jpg,,full_image,ok,ok,True,False,ok,,0,28.94255113899999,results/raw_cli/qwen3vl4b_self_q6_k_mmprojq8_19/0006_ok_ok_00004.txt,8558.0,,,,,,
mute_00001,data/hagrid_day1/images/mute/mute_00001.jpg,,full_image,mute,mute,True,False,mute,,0,20.88268605400026,results/raw_cli/qwen3vl4b_self_q6_k_mmprojq8_19/0007_mute_mute_00001.txt,8559.0,,,,,,
stop_inverted_00004,data/hagrid_day1/images/stop_inverted/stop_inverted_00004.jpg,,full_image,stop_inverted,four,False,False,four,,0,38.209873170999344,results/raw_cli/qwen3vl4b_self_q6_k_mmprojq8_19/0008_stop_inverted_stop_inverted_00004.txt,8574.0,,,,,,
call_00002,data/hagrid_day1/images/call/call_00002.jpg,,full_image,call,call,True,False,call,,0,47.08650626400049,results/raw_cli/qwen3vl4b_self_q6_k_mmprojq8_19/0009_call_call_00002.txt,8539.0,,,,,,
peace_inverted_00001,data/hagrid_day1/images/peace_inverted/peace_inverted_00001.jpg,,full_image,peace_inverted,peace,False,False,peace,,0,17.23780300099952,results/raw_cli/qwen3vl4b_self_q6_k_mmprojq8_19/0010_peace_inverted_peace_inverted_00001.txt,8509.0,,,,,,
three2_00003,data/hagrid_day1/images/three2/three2_00003.jpg,,full_image,three2,peace,False,False,peace,,0,41.20401736999975,results/raw_cli/qwen3vl4b_self_q6_k_mmprojq8_19/0011_three2_three2_00003.txt,7314.0,,,,,,
rock_00000,data/hagrid_day1/images/rock/rock_00000.jpg,,full_image,rock,rock,True,False,rock,,0,17.582548874999702,results/raw_cli/qwen3vl4b_self_q6_k_mmprojq8_19/0012_rock_rock_00000.txt,8538.0,,,,,,
peace_00002,data/hagrid_day1/images/peace/peace_00002.jpg,,full_image,peace,peace,True,False,peace,,0,16.669501102999675,results/raw_cli/qwen3vl4b_self_q6_k_mmprojq8_19/0013_peace_peace_00002.txt,8694.0,,,,,,
two_up_inverted_00003,data/hagrid_day1/images/two_up_inverted/two_up_inverted_00003.jpg,,full_image,two_up_inverted,two_up,False,False,two_up,,0,54.39484839200031,results/raw_cli/qwen3vl4b_self_q6_k_mmprojq8_19/0014_two_up_inverted_two_up_inverted_00003.txt,8529.0,,,,,,
dislike_00001,data/hagrid_day1/images/dislike/dislike_00001.jpg,,full_image,dislike,dislike,True,False,dislike,,0,59.2200367660007,results/raw_cli/qwen3vl4b_self_q6_k_mmprojq8_19/0015_dislike_dislike_00001.txt,8563.0,,,,,,
three_00001,data/hagrid_day1/images/three/three_00001.jpg,,full_image,three,three,True,False,three,,0,23.738110440999662,results/raw_cli/qwen3vl4b_self_q6_k_mmprojq8_19/0016_three_three_00001.txt,8535.0,,,,,,
one_00000,data/hagrid_day1/images/one/one_00000.jpg,,full_image,one,one,True,False,one,,0,39.44829992100131,results/raw_cli/qwen3vl4b_self_q6_k_mmprojq8_19/0017_one_one_00000.txt,8561.0,,,,,,
no_gesture_00000,data/hagrid_day1/images/no_gesture/no_gesture_00000.jpg,,full_image,no_gesture,no_gesture,True,False,no_gesture,,0,25.609144349999042,results/raw_cli/qwen3vl4b_self_q6_k_mmprojq8_19/0018_no_gesture_no_gesture_00000.txt,8527.0,,,,,,
