Starting Qwen3-VL llama-server
Server:             /home/andrewchen/vlm-edge-project/llama.cpp/build/bin/llama-server
Model:              models/qwen3-vl-4b-custom-quants/Qwen3VL-4B-Instruct-Q4_K_M-self.gguf
mmproj:             /home/andrewchen/vlm-edge-project/models/qwen3-vl-4b-instruct-gguf/mmproj-Qwen3VL-4B-Instruct-Q8_0.gguf
Alias:              qwen3vl4b-q4
Address:            http://127.0.0.1:8080
Context:            512
GPU layers:         all
Fit:                off
Fit target:         768 MiB
Parallel slots:     1
Batch size:         128
Microbatch size:    64
MTMD batch tokens:  128
KV cache:           K=q8_0 V=q8_0
Load mode:          mmap

0.00.037.590 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.099.449 I srv    load_model: loading model 'models/qwen3-vl-4b-custom-quants/Qwen3VL-4B-Instruct-Q4_K_M-self.gguf'
0.00.541.838 W load: control-looking token: 128247 '</s>' was not control-type; this is probably a bug in the model. its type will be overridden
0.07.042.867 W load_hparams: Qwen-VL models require at minimum 1024 image tokens to function correctly on grounding tasks
0.07.042.882 W load_hparams: if you encounter problems with accuracy, try adding --image-min-tokens 1024
0.07.042.884 W load_hparams: more info: https://github.com/ggml-org/llama.cpp/issues/16842

0.08.186.760 I srv    load_model: loaded multimodal model, '/home/andrewchen/vlm-edge-project/models/qwen3-vl-4b-instruct-gguf/mmproj-Qwen3VL-4B-Instruct-Q8_0.gguf'
0.08.302.440 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 512, kv_unified = 'false'
0.08.350.970 I srv  llama_server: model loaded
0.08.350.994 I srv  llama_server: listening on http://127.0.0.1:8080
0.24.904.100 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.24.904.228 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
0.26.924.480 I slot print_timing: id  0 | task 0 | prompt eval time =    1793.88 ms /   375 tokens (    4.78 ms per token,   209.04 tokens per second)
0.26.924.509 I slot print_timing: id  0 | task 0 |        eval time =     226.23 ms /     3 tokens (   75.41 ms per token,    13.26 tokens per second)
0.26.924.512 I slot print_timing: id  0 | task 0 |       total time =    2020.11 ms /   378 tokens
0.26.924.526 I slot print_timing: id  0 | task 0 |    graphs reused =          3
0.26.924.692 I slot      release: id  0 | task 0 | stop processing: n_tokens = 377, truncated = 0
0.26.972.147 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, sim_best = 1.000 (> 0.100 thold), f_keep = 0.995
0.26.972.324 I slot launch_slot_: id  0 | task 6 | processing task, is_child = 0
0.28.728.870 I slot print_timing: id  0 | task 6 | prompt eval time =    1550.17 ms /   375 tokens (    4.13 ms per token,   241.91 tokens per second)
0.28.728.896 I slot print_timing: id  0 | task 6 |        eval time =     206.31 ms /     3 tokens (   68.77 ms per token,    14.54 tokens per second)
0.28.728.899 I slot print_timing: id  0 | task 6 |       total time =    1756.47 ms /   378 tokens
0.28.728.903 I slot print_timing: id  0 | task 6 |    graphs reused =          5
0.28.729.025 I slot      release: id  0 | task 6 | stop processing: n_tokens = 377, truncated = 0
0.28.774.378 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 8024185382
0.28.774.555 I slot launch_slot_: id  0 | task 12 | processing task, is_child = 0
0.30.412.857 I slot print_timing: id  0 | task 12 | prompt eval time =    1538.10 ms /   375 tokens (    4.10 ms per token,   243.81 tokens per second)
0.30.412.885 I slot print_timing: id  0 | task 12 |        eval time =     100.14 ms /     2 tokens (   50.07 ms per token,    19.97 tokens per second)
0.30.412.889 I slot print_timing: id  0 | task 12 |       total time =    1638.24 ms /   377 tokens
0.30.412.892 I slot print_timing: id  0 | task 12 |    graphs reused =          6
0.30.413.012 I slot      release: id  0 | task 12 | stop processing: n_tokens = 376, truncated = 0
0.30.457.773 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 8025869369
0.30.457.956 I slot launch_slot_: id  0 | task 17 | processing task, is_child = 0
0.32.089.425 I slot print_timing: id  0 | task 17 | prompt eval time =    1531.34 ms /   375 tokens (    4.08 ms per token,   244.88 tokens per second)
0.32.089.446 I slot print_timing: id  0 | task 17 |        eval time =     100.06 ms /     2 tokens (   50.03 ms per token,    19.99 tokens per second)
0.32.089.450 I slot print_timing: id  0 | task 17 |       total time =    1631.39 ms /   377 tokens
0.32.089.453 I slot print_timing: id  0 | task 17 |    graphs reused =          7
0.32.089.575 I slot      release: id  0 | task 17 | stop processing: n_tokens = 376, truncated = 0
0.32.133.949 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 8027545933
0.32.134.111 I slot launch_slot_: id  0 | task 22 | processing task, is_child = 0
0.33.763.903 I slot print_timing: id  0 | task 22 | prompt eval time =    1530.41 ms /   375 tokens (    4.08 ms per token,   245.03 tokens per second)
0.33.763.922 I slot print_timing: id  0 | task 22 |        eval time =      99.31 ms /     2 tokens (   49.65 ms per token,    20.14 tokens per second)
0.33.763.925 I slot print_timing: id  0 | task 22 |       total time =    1629.71 ms /   377 tokens
0.33.763.928 I slot print_timing: id  0 | task 22 |    graphs reused =          8
0.33.764.049 I slot      release: id  0 | task 22 | stop processing: n_tokens = 376, truncated = 0
0.33.806.814 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 8029220406
0.33.806.985 I slot launch_slot_: id  0 | task 27 | processing task, is_child = 0
0.35.437.723 I slot print_timing: id  0 | task 27 | prompt eval time =    1530.83 ms /   375 tokens (    4.08 ms per token,   244.97 tokens per second)
0.35.437.744 I slot print_timing: id  0 | task 27 |        eval time =      99.84 ms /     2 tokens (   49.92 ms per token,    20.03 tokens per second)
0.35.437.747 I slot print_timing: id  0 | task 27 |       total time =    1630.67 ms /   377 tokens
0.35.437.751 I slot print_timing: id  0 | task 27 |    graphs reused =          9
0.35.437.871 I slot      release: id  0 | task 27 | stop processing: n_tokens = 376, truncated = 0
